,Left side,Right Side,classifier,test,Production
,absolute_pathname,. partial_pathname,N,,
,abstract_literal,"  decimal_literal
| based_literal",N,,
,access_type_definition,access subtype_indication,Y,Y,
,actual_designator,"  [ inertial ] expression
| signal_name
| variable_name
| file_name
| subtype_indication
| subprogram_name
| instantiated_package_name
| open",N,,
,actual_parameter_part,parameter_association_list,Y,,
,actual_part,"  actual_designator
| function_name ( actual_designator )
| type_mark ( actual_designator )",N,,
,adding_operator,+ | - | &,N,,
,aggregate,"( element_association { , element_association } )",N,,
,alias_declaration,alias alias_designator [ : subtype_indication ] is name [ signature ] ;,Y,,
,alias_designator,"  identifier
| character_literal
| operator_symbol",N,,
,allocator,"  new subtype_indication
| new qualified_expression",N,,
,architecture_body,"architecture identifier of entity_name is
  architecture_declarative_part
begin
  architecture_statement_part
end [ architecture ] [ architecture_simple_name ] ;",Y,,
,architecture_declarative_part,{ block_declarative_item },Y,,
,architecture_statement_part,{ concurrent_statement },Y,,
,array_contraint,"  index_constraint [ array_element_constraint ]
| ( open ) [ array_element_constraint ]",Y,,
,array_element_constraint,element_constraint,Y,,
,array_element_resolution,resolution_indication,N,,
,array_type_definition,"  unbounded_array_definition
| constrained_array_definition",Y,,
,assertion,"assert condition
[ report expression ]
[ severity expression ]",Y,,
,assertion_statement,[ label : ] assertion ;,Y,,
,association_element,[ formal_part => ] actual_part,Y,,
,association_list,"association_element { , association_element }",Y,,
,attribute_declaration,attribute identifier : type_mark ;,Y,,
,attribute_designator,attribute_simple_name,Y,,
,attribute_name,prefix [ signature ] ' attribute_designator [ ( expression ) ],Y,,
,attribute_specification,attribute attribute_designator of entity_specification is expression ;,Y,,
,base,integer,N,,
,base_specifier,B | O | X | UB | UO | UX | SB | SO | SX | D,N,,
,based_integer,extended_digit { [ underline ] extended_digit },N,,
,basic_character,"  basic_graphic_character
| format_effector",N,,
,basic_graphic_character,"  upper_case_letter
| digit
| special_character
| space_character",N,,
,basic_identifier,letter { [ underline ] letter_or_digit },N,,
,binding_indication,"[ use entity_aspect ]
[ generic_map_aspect ]
[ port_map_aspect ]",Y,,
,bit_string_literal,"[ integer ] base_specifier "" [ bit_value ] """,N,,
,bit_value,graphic_character { [ underline ] graphic_character },N,,
,block_configuration,"for block_specification
{ use_clause }
{ configuration_item }
end for ;",Y,,
,block_declarative_item,"subprogram_declaration
| subprogram_body
| subprogram_instantiation_declaration
| package_declaration
| package_body
| package_instantiation_declaration
| type_declaration
| subtype_declaration
| constant_declaration
| signal_declaration
| shared_variable_declaration
| file_declaration
| alias_declaration
| component_declaration
| attribute_declaration
| attribute_specification
| configuration_specification
| disconnection_specification
| use_clause
| group_template_declaration
| group_declaration
| PSL_Property_Declaration
| PSL_Sequence_Declaration
| PSL_Clock_Declaration",Y,,
,block_declarative_part,{ block_declarative_item },Y,,
,block_header,"[ generic_clause
[ generic_map_aspect ; ] ]
[ port_clause
[ port_map_aspect ; ] ]",Y,,
,block_specification,"  architecture_name
| block_statement_label
| generate_statement_label [ ( generate_specification ) ]",Y,,
,block_statement,"block_label :
  block [ ( guard_condition ) ] [ is ]
    block_header
    block_declarative_part
  begin
    block_statement_part
  end block [ block_label ] ;",Y,,
,block_statement_part,{ concurrent_statement },Y,,
,case_generate_alternative,"when [ alternative_label : ] choices =>
generate_statement_body",Y,,
,case_generate_statement,"generate_label :
  case expression generate
     case_generate_alternative
   { case_generate_alternative }
  end generate [ generate_label ] ;",Y,,
,case_statement,"[ case_label : ]
  case [ ? ] expression is
    case_statement_alternative
  { case_statement_alternative }
  end case [ ? ] [ case_label ] ;",Y,,
,case_statement_alternative,"when choices =>
  sequence_of_statements",Y,,
,character_literal,' graphic_character ',Y,,
,choice,"  simple_expression
| discrete_range
| element_simple_name
| others",Y,,
,choices,choice { | choice },Y,,
,component_configuration,"for component_specification
[ binding_indication ; ]
{ verification_unit_binding_indication ; }
[ block_configuration ]
end for ;",Y,,
,component_declaration,"component identifier [ is ]
[ local_generic_clause ]
[ local_port_clause ]
end component [ component_simple_name ] ;",Y,,
,component_instantiation_statement,"instantiation_label :
  instantiated_unit
    [ generic_map_aspect ]
    [ port_map_aspect ] ;",Y,,
,component_specification,instantiation_list : component_name,Y,,
,composite_type_definition,"  array_type_definition
| record_type_definition",Y,,
,compound_configuration_specification,"for component_specification binding_indication ;
    verification_unit_binding_indication ;
  { verification_unit_binding_indication ; }
end for ;",N,,
,concurrent_assertion_statement,[ label : ] [ postponed ] assertion ;,Y,,
,concurrent_conditional_signal_assignment,target <= [ guarded ] [ delay_mechanism ] conditional_waveforms ;,Y,,
